lat;lon;status;closed;name;addr;town;county;postcode;prev;img;url;gsv
51.216850636;-0.3890544203;open;;Wotton Hatch;Guildford Road;Wotton;Surrey;RH5 6QQ;;https://whatpub.com/img/REI/393/wotton-hatch-wotton/200/150;https://whatpub.com/pubs/REI/393/wotton-hatch-wotton;
51.2109095338;-0.3956902054;open;;Wotton House;Guildford Road;Wotton;Surrey;RH5 6HS;;https://whatpub.com/img/REI/459/wotton-house-wotton/200/150;https://whatpub.com/pubs/REI/459/wotton-house-wotton;
51.2420371954;-0.3694528355;bone;;Fox ;Fox Lane ;Ranmore Common ;Surrey;;;http://www.closedpubs.co.uk/surrey/pics/ranmorecommon_fox.jpg;http://www.closedpubs.co.uk/surrey/ranmorecommon_fox.html;
51.2397241113;-0.4103726175;gone;;Ranmore Arms ;Crocknorth Road ;Ranmore Common ;Surrey;RH5 6SX ;;http://www.closedpubs.co.uk/surrey/pics/ranmorecommon_ranmorearms.JPG;http://www.closedpubs.co.uk/surrey/ranmorecommon_ranmorearms.html;
51.2161668434;-0.4328119782;dead;2012;Abinger Arms;Guildford Road;Abinger Hammer;Surrey;RH5 6RZ;;https://whatpub.com/img/REI/2/abinger-arms-abinger-hammer/298/224/1;https://whatpub.com/pubs/REI/2/abinger-arms-abinger-hammer;
51.2019661914;-0.4043577625;open;;Abinger Hatch;Abinger Lane;Abinger Common;Surrey;RH5 6HZ;;https://whatpub.com/img/REI/1/abinger-hatch-abinger-common/200/150;https://whatpub.com/pubs/REI/1/abinger-hatch-abinger-common;
51.2022250047;-0.4193083955;open;;Volunteer;Water Lane;Sutton Abinger;Surrey;RH5 6PR;;https://whatpub.com/img/REI/366/volunteer-sutton-abinger/200/150;https://whatpub.com/pubs/REI/366/volunteer-sutton-abinger;
51.1982283617;-0.386975707;open;;Stephan Langton Inn;Friday Street;Friday Street;Surrey;RH5 6JR;;https://whatpub.com/img/REI/178/stephan-langton-inn-friday-street/200/150;https://whatpub.com/pubs/REI/178/stephan-langton-inn-friday-street;
51.1887261198;-0.4139828709;open;;Royal Oak;The Glade, Felday Road;Holmbury St Mary;Surrey;RH5 6PF;;https://whatpub.com/img/REI/195/royal-oak-holmbury-st-mary/298/224/1;https://whatpub.com/pubs/REI/195/royal-oak-holmbury-st-mary;
51.1854234921;-0.4109828188;open;;King's Head;Pitland Street;Holmbury St Mary;Surrey;RH5 6NP;;https://whatpub.com/img/REI/194/kings-head-holmbury-st-mary/298/224/1;https://whatpub.com/pubs/REI/194/kings-head-holmbury-st-mary;
;;gone;2012;Hollybush Tavern;Holmbury Hill Road;Holmbury St Mary;Surrey;RH5 6NS;;https://whatpub.com/img/REI/506/hollybush-tavern-holmbury-st-mary/298/224/1;https://whatpub.com/pubs/REI/506/hollybush-tavern-holmbury-st-mary;
;;;;;;;;;;;;
51.1773630468;-0.2273936583;open;;Fox Revived;Norwood Hill;Norwood Hill;Surrey;RH6 0ET;;https://whatpub.com/img/REI/262/fox-revived-norwood-hill/298/224/1;https://whatpub.com/pubs/REI/262/fox-revived-norwood-hill;
51.1666161193;-0.2410984093;open;;Stanhill Court Hotel;Stanhill;Charlwood;Surrey;RH6 0EP;;https://whatpub.com/img/REI/59/stanhill-court-hotel-charlwood/298/224/1;https://whatpub.com/pubs/REI/59/stanhill-court-hotel-charlwood;
51.1464827467;-0.2458727413;open;;Russ Hill Hotel;Russ Hill;Charlwood;Surrey;RH6 0EL;;https://whatpub.com/img/REI/58/russ-hill-hotel-charlwood/298/224/1;https://whatpub.com/pubs/REI/58/russ-hill-hotel-charlwood;
